code,group,item,adj,filler,item_text,item_goal
1221099,A,0,-,control,Только самый маленький смурф принёс с собой бахилы.,Самый большой смурф принёс с собой бахилы.
1221099,A,00,-,control,"Клёпа забыла, что в столовой не принимают карты.",В столовой не принимают карты.
1221099,A,000,-,control,В группе нет никого зануднее Андрея.,Андрей самый занудный в группе.
1221099,A,1,neg,true,"Вася читал книгу, пока Маша не спала.",Маша спала.
1221099,A,2,-,true,"Женя вязала свитер, пока её брат не заснул.",Женин брат заснул.
1221099,A,3,-,true,"Петя самый глупый и не самый умный. ",Вася - это имя.
1221099,A,4,cf,true,"Если бы Наташа съела Машин сырок, то Маша бы съела Наташино печенье.",Наташа съела Машин сырок.
1221099,A,5,ind,true,"Если Петя съел протеиновые батончики Андрея, то Андрей съел его последнюю шоколадку.",Петя съел протеиновые батончики Андрея.
1221099,A,6,-,true,Каждая школьница подарила свою поделку самой доброй учительнице.,Одна учительница получила все поделки школьниц.
1221099,A,7,-,true,Каждый школьник купил плакат с самым крутым спортсменом.,Школьники купили разные плакаты.
1221099,A,8,грязная,false,Васина рубашка грязнее Петиной.,Петина рубашка грязная.
1221099,A,9,холодная,false,"В ванне вода холоднее, чем в тазике.",В тазике вода холодная.
1221099,A,10,щедрая,false,Директор отдела продаж щедрее нашего директора.,Наш директор щедрый.
1221099,A,11,светлая,false,"У Маши глаза светлее, чем у Саши.",У Саши светлые глаза.
1221099,A,12,красивая,false,Дети тёти Любы красивее детей тёти Гали.,Дети тёти Гали красивые.
1221099,A,13,трудолюбивая,false,Девушки из второй бригады трудолюбивее девушек из пятой.,Девушки из пятой бригады трудолюбивые.
145672,B,0,-,control,Только самый маленький смурф принёс с собой бахилы.,Самый большой смурф принёс с собой бахилы.
145672,B,00,-,control,"Клёпа забыла, что в столовой не принимают карты.",В столовой не принимают карты.
145672,B,000,-,control,В группе нет никого зануднее Андрея.,Андрей самый занудный в группе.
145672,B,1,neg,true,"Вася читал книгу, пока Маша не спала.",Маша спала.
145672,B,2,-,true,"Женя вязала свитер, пока её брат не заснул.",Женин брат заснул.
145672,B,3,-,true,"Петя самый глупый и не самый умный. ",Вася - это имя.
145672,B,4,cf,true,"Если бы Наташа съела Машин сырок, то Маша бы съела Наташино печенье.",Наташа съела Машин сырок.
145672,B,5,ind,true,"Если Петя съел протеиновые батончики Андрея, то Андрей съел его последнюю шоколадку.",Петя съел протеиновые батончики Андрея.
